Company Name,Job Title,Role,Count Of UI/UX Designers
Accenture,UI/UX Designer,User Experience Designer,80
Airbnb,UI/UX Designer,User Experience Designer,60
Amazon,UI/UX Designer,User Experience Designer,100
Dropbox,UI/UX Designer,User Experience Designer,50
Facebook (Meta),UI/UX Designer,User Experience Designer,130
Google,UI/UX Designer,User Experience Designer,150
Hewlett Packard (HP),UI/UX Designer,User Experience Designer,75
Infosys,UI/UX Designer,User Experience Designer,100
Microsoft,UI/UX Designer,User Experience Designer,120
Netflix,UI/UX Designer,User Experience Designer,75
Oracle,UI/UX Designer,User Experience Designer,70
PayPal,UI/UX Designer,User Experience Designer,60
Pinterest,UI/UX Designer,User Experience Designer,65
Qualcomm,UI/UX Designer,User Experience Designer,55
Salesforce,UI/UX Designer,User Experience Designer,85
Shopify,UI/UX Designer,User Experience Designer,65
Siemens AG,UI/UX Designer,User Experience Designer,50
Spotify,UI/UX Designer,User Experience Designer,55
Tata Consultancy Services,UI/UX Designer,User Experience Designer,105
Twitter (X),UI/UX Designer,User Experience Designer,55
