Country,Qualification,Work Type,Experience (Years),Job Title,Salary ($),Job Portal,Gender Preference,Job Posting Date,Job Posting Time,Company Size,Latitude,Longitude
India,B.Tech,Full time,11,Data Scientist,103823.53,Indeed,Female,2022-03-25,12:07,462078,36.66368659933168,84.2628195912203
India,B.Tech,Full time,16,Data Scientist,113256.93,Indeed,Female,2020-10-14,17:50,171696,32.07237859245231,88.0515491488339
India,B.Tech,Full time,13,Data Scientist,73484.74,Indeed,Female,2023-04-12,14:17,175869,31.101451002027005,81.1946719073249
Germany,B.Tech,Full time,12,Art Teacher,138623.22,Indeed,Female,2023-07-08,12:49,98977,54.29262868833108,11.396891013233093
Germany,B.Tech,Full time,4,Art Teacher,87842.13,Indeed,Female,2022-09-19,12:40,105567,53.33436437164767,6.258557949345577
Germany,B.Tech,Full time,14,Data Scientist,139683.56,Indeed,Female,2021-01-30,13:41,471868,49.564262535889696,8.028361396534926
Germany,B.Tech,Full time,20,Data Scientist,104409.38,Indeed,Female,2022-01-30,16:20,187052,51.850391671324765,6.117829019763786
Germany,B.Tech,Full time,13,Art Teacher,146646.3,Indeed,Female,2020-01-11,17:35,151836,48.161825356958246,13.625925874280242
Germany,B.Tech,Full time,20,Art Teacher,61606.38,Indeed,Female,2022-08-15,12:03,442590,49.21718561858752,10.280850338003383
India,B.Tech,Full time,7,Art Teacher,118119.63,Indeed,Female,2022-07-26,17:23,159620,28.24543931301462,91.04333791082055
Germany,B.Tech,Full time,12,Data Scientist,72396.61,Indeed,Female,2021-07-02,15:14,263279,53.45860413808582,7.798951117594165
India,B.Tech,Full time,7,Data Scientist,48171.25,Indeed,Female,2022-08-17,17:24,167770,14.218621095944744,92.3272895715223
India,B.Tech,Full time,5,Data Scientist,57513.61,Indeed,Female,2020-01-30,17:21,283563,20.73297946552001,72.71855993052523
Germany,B.Tech,Full time,19,Data Scientist,142322.65,Indeed,Female,2021-07-02,15:22,290594,50.24854259185005,9.726829510524562
India,B.Tech,Full time,5,Art Teacher,77931.75,Indeed,Female,2020-12-26,12:07,271225,12.907939959823945,73.21093246649413
Germany,B.Tech,Full time,17,Art Teacher,59503.24,Indeed,Female,2023-05-12,14:54,463774,53.39316697555434,10.848167750154333
India,B.Tech,Full time,10,Art Teacher,126685.22,Indeed,Female,2022-08-11,14:33,344609,21.97888243989409,83.38043485392728
Germany,B.Tech,Full time,20,Data Scientist,105063.64,Indeed,Female,2022-07-13,17:24,483299,48.264521001303905,7.191595225799113
Germany,B.Tech,Full time,14,Data Scientist,147859.47,Indeed,Female,2022-04-01,17:33,300297,49.98234163824178,12.537715899102073
India,B.Tech,Full time,14,AeroSpace Engineer,135938.86,Indeed,Female,2020-09-26,12:34,448851,32.2523632664079,83.29091494808557
